id,annearn,occprest,sei,age,yearsed,gender,ln_earn,literacy,unemp,parented,Ethnicity,Language,Education
1.16E+10,39000,49,58,45,13,0,6.621405651764134,290.9506666666667,0,10,5,5,3
7.57E+10,8320,42,39,38,12,0,5.081404364984463,234.51646666666667,0,12.01683898989809,2,1,2
3.06E+10,NA,42,39,44,12,0,6.53100508952241,370.61490000000003,0,10.5,5,5,2
8.55E+10,15600,32,38,32,12,0,5.707110264748875,306.5511666666667,0,12,5,5,3
2.07E+10,41600,74,84,29,18,0,6.68586094706836,341.76683333333335,0,2,3,3,6
5.54E+10,26000,52,69,44,18,1,6.2166061010848646,381.25423333333333,0,15,5,5,6
8.01E+10,9000,35,33,36,12,1,5.272999558563747,342.0412333333333,0,11,5,5,2
7.33E+10,23400,51,64,27,14,0,6.208590026096629,269.87553333333335,0,16,5,5,4
4.15E+10,24024,36,44,42,13,1,6.137727054086234,249.05536666666669,0,14,2,5,3
6.74E+10,39000,61,76,40,14,0,6.621405651764134,337.4153333333333,0,10,5,2,4
8.14E+10,13520,40,53,37,12,1,5.54907608489522,278.7012666666667,0,15.5,1,2,2
6.47E+10,20800,21,32,55,13,0,5.993961427306569,349.8427666666667,0,11,5,5,3
3.18E+10,28050,69,80,31,16,1,6.302618975744905,384.4193666666667,0,13,5,5,5
6.51E+10,25012,51,64,43,13,1,6.1779441140506,251.80323333333334,0,10.5,5,5,3
6.41E+10,52000,46,43,44,16,0,6.90875477931522,292.51033333333334,0,13,5,5,5
5.20E+10,26000,30,33,44,12,0,6.2166061010848646,286.5952,0,9,5,5,3
3.28E+10,26000,42,29,43,11,1,6.2166061010848646,153.83613333333335,0,7.5,1,5,1
8.54E+10,16328,40,37,58,12,0,5.739792912179234,307.31346666666667,1,12,5,1,3
4.06E+10,NA,35,38,29,16,1,4.836281906951478,336.14646666666664,0,12.5,3,1,5
3.07E+10,5980,30,33,33,12,1,4.795790545596741,238.28163333333333,0,11.5,5,5,3
2.10E+10,12220,30,32,28,12,1,5.472270673671475,260.0158666666667,0,9.5,1,5,3
6.09E+10,14700,31,38,26,11,1,5.707110264748875,277.9498,0,12,5,5,1
3.18E+10,NA,29,31,39,10,0,4.841548683940306,206.30503333333334,0,14,1,5,1
3.24E+10,40560,60,63,56,13,0,6.660575149839686,246.73163333333335,0,8,1,5,3
1.19E+10,40976,66,73,31,16,1,6.670766320845874,360.0157,0,14,5,5,5
2.21E+10,52000,65,64,45,16,0,6.90875477931522,387.24156666666664,0,15,5,5,5
1.13E+10,13896,29,32,30,12,1,6.0867747269123065,315.9569333333333,0,16,1,5,3
3.17E+10,18720,25,29,41,12,0,5.8888779583328805,287.9794,0,8,1,5,3
3.10E+10,18912,39,34,41,9,0,5.929589143389895,240.25236666666666,0,14,5,5,1
2.03E+10,26000,49,67,25,14,0,6.2166061010848646,286.0237,0,12,5,5,4
3.02E+10,22500,40,34,30,12,1,6.118097198041348,296.05493333333334,0,10,2,1,3
5.21E+10,50024,59,73,27,16,0,6.870053411798126,333.02316666666667,0,12,2,1,5
1.02E+10,20800,30,29,54,12,0,5.993961427306569,259.9943333333333,0,14,5,5,3
6.09E+10,48360,64,87,55,14,0,6.836259277277067,350.96136666666666,0,10,5,5,4
3.05E+10,20800,17,29,32,4,0,5.993961427306569,135.29633333333334,0,10,1,5,1
4.01E+10,NA,64,85,32,16,0,NA,324.5858666666667,1,16,5,5,5
6.08E+10,NA,42,42,32,9,0,5.776835217933836,261.8947333333333,0,8,5,5,1
6.21E+10,16900,30,33,31,12,0,5.786897381366708,355.61013333333335,0,14,5,5,2
6.21E+10,36296,68,65,38,16,1,6.54965074223381,346.351,0,16,5,5,5
5.15E+10,9432,17,21,29,12,1,5.220355825078324,271.3731666666667,0,10,1,5,3
1.05E+10,41000,54,81,46,16,1,6.90875477931522,324.7918,0,11.5,5,5,5
4.12E+10,5000,36,44,31,11,1,4.61512051684126,168.3355,0,12.095233164275598,2,1,1
3.31E+10,52000,51,64,50,14,1,6.90875477931522,328.3591,0,11,5,5,4
5.14E+10,15000,30,32,56,8,0,6.111467339502679,209.91846666666666,1,2.5,2,1,1
5.13E+10,1800,44,63,32,18,1,4.330733340286331,324.3612333333333,0,13.5,5,5,6
2.01E+10,NA,42,36,40,13,1,NA,309.4934333333333,1,8.5,5,5,3
8.12E+10,26000,44,51,35,18,1,6.2166061010848646,294.9913,0,14.5,5,5,6
6.02E+10,39000,51,45,36,16,0,6.621405651764134,357.52026666666666,0,8,5,5,5
4.06E+10,46000,41,50,34,13,1,6.795705775173514,256.0039333333333,0,16,5,5,3
5.20E+10,36400,65,76,37,16,0,6.55250788703459,329.1288333333333,0,11,5,5,5
2.13E+10,20800,43,63,37,14,1,5.993961427306569,342.71076666666664,0,12,5,5,4
4.03E+10,39000,66,73,41,16,1,6.61472560020376,313.8313,0,10,5,5,5
3.12E+10,10400,46,38,28,13,1,5.303304908059076,260.6178,0,8,5,5,3
3.01E+10,15600,30,47,25,13,1,5.707110264748875,362.1361333333333,0,16,5,5,3
2.07E+10,41600,64,79,50,16,0,6.90875477931522,311.6188333333333,0,10,5,5,5
2.11E+10,20800,60,50,48,12,1,5.993961427306569,233.22976666666665,0,12,2,1,3
7.29E+10,55016,69,87,33,16,0,6.966967138613983,380.57076666666666,0,14,5,5,5
8.02E+10,32500,66,73,36,16,1,6.439350371100098,337.7934,0,17,5,5,5
6.69E+10,20800,35,27,31,12,0,5.993961427306569,263.7368333333333,0,12,5,5,3
4.16E+10,18200,27,29,34,11,0,5.860786223465865,210.2155,0,12,5,2,1
7.54E+10,13000,44,51,33,16,1,5.5254529391317835,357.10676666666666,0,13,5,5,5
3.31E+10,26000,30,36,28,10,0,6.2166061010848646,231.10323333333332,0,15,5,5,1
8.57E+10,20800,25,33,45,13,1,5.993961427306569,279.5106666666667,0,9,5,5,3
4.09E+10,31200,48,53,29,16,0,6.398594934535208,273.83143333333334,0,12,5,5,5
1.03E+10,44980,62,76,39,16,0,6.763884908562435,379.334,0,12,5,2,5
1.14E+10,18720,47,62,43,14,1,5.87493073085203,214.1891,0,14,5,5,4
3.15E+10,NA,51,52,44,16,0,6.8148056824047725,268.29226666666665,0,8,5,5,5
2.11E+10,32344,60,75,27,18,0,6.431331081933479,332.8358,0,12,5,5,6
1.02E+10,33800,40,53,57,12,0,6.478509642208569,338.5904,0,12,5,5,3
6.69E+10,17420,46,38,53,13,1,5.817111159963204,255.7326666666667,0,6.5,5,5,3
5.19E+10,3500,36,29,26,12,0,5.303304908059076,303.6474666666667,1,12,5,5,3
2.21E+10,NA,40,32,41,13,0,6.352011919407754,379.0801,0,12,5,5,3
8.01E+10,44200,47,51,32,14,0,6.7464121285733745,237.5062,0,12,5,5,4
6.14E+10,14508,34,27,29,9,0,5.638354669333745,213.92803333333333,0,0.5,5,2,1
5.14E+10,36000,30,32,45,12,1,6.55250788703459,264.91403333333335,0,12,5,2,3
1.01E+10,NA,22,28,40,10,0,NA,175.69793333333334,1,9.584332562624587,2,1,1
4.21E+10,24700,36,38,56,13,1,6.16541785423142,360.60586666666666,0,12,5,5,3
5.14E+10,42016,45,49,34,12,1,6.695798917058491,239.211,0,12.5,1,5,3
2.25E+10,25480,66,73,47,18,1,6.19644412779452,310.36496666666665,0,12,5,5,6
6.47E+10,24128,31,32,58,13,0,6.1441856341256456,268.2776,0,10,5,5,3
5.11E+10,18200,64,79,32,16,1,5.860786223465865,389.3602666666667,0,12,5,5,5
3.20E+10,13000,28,52,31,13,1,5.5254529391317835,247.24116666666666,0,12,2,1,3
5.13E+10,32500,29,33,33,13,1,6.423246963533519,334.2648,0,12,5,5,3
6.10E+10,NA,65,64,31,16,1,5.447332559303123,346.86653333333334,0,12.5,5,5,5
6.11E+10,104000,72,96,38,18,0,7.601402334583733,388.3380666666667,0,15,5,5,6
2.23E+10,34996,49,45,34,13,0,6.513230110912307,284.97666666666663,0,12,5,5,3
5.20E+10,29120,47,66,38,14,0,6.329720905522696,291.5079,0,12,5,5,4
6.65E+10,26000,46,38,46,16,1,6.2166061010848646,272.97926666666666,0,12,5,5,5
3.18E+10,376,29,31,31,10,0,4.02535169073515,220.4523,0,14.5,5,5,1
8.01E+10,NA,30,33,52,10,1,NA,338.1764333333333,1,10.75583375438084,5,5,1
3.07E+10,NA,26,29,38,12,1,6.544601653347566,146.68426666666667,0,5,5,5,3
5.13E+10,5448,33,39,48,14,1,5.303304908059076,269.80559999999997,0,8,5,2,4
8.56E+10,7800,36,31,50,13,1,5.017279836814924,274.0457,0,7,5,2,3
2.07E+10,30212,40,39,32,12,1,6.621405651764134,276.65316666666666,0,7,5,5,3
2.05E+10,78000,48,67,45,13,0,7.313886831633462,284.3476,0,14,5,5,3
5.13E+10,52000,69,74,32,14,0,6.90875477931522,352.50096666666667,0,14.5,5,5,4
7.63E+10,15600,22,37,52,3,1,5.707110264748875,239.71283333333332,0,2.9240105624856754,1,5,1
8.13E+10,3000,36,32,41,12,0,5.303304908059076,220.50833333333333,1,6,2,5,3
2.11E+10,37440,51,62,33,16,0,6.580639137284949,336.07103333333333,0,12,4,5,5
3.27E+10,5220,24,34,49,11,1,4.663439094112067,229.3156,0,10.906684673970465,1,5,1
3.14E+10,20800,47,38,53,12,1,5.993961427306569,291.2830333333333,0,8,5,5,3
6.06E+10,14300,42,39,30,12,1,5.62040086571715,276.45383333333336,0,11,1,5,3
3.21E+10,12324,28,33,26,13,0,5.472270673671475,245.73523333333333,0,9,1,5,3
1.16E+10,7403,43,42,48,10,1,5.720311776607412,299.55083333333334,0,12,5,5,1
5.08E+10,41600,34,30,37,12,0,6.68586094706836,291.0387333333333,0,14,5,5,3
5.13E+10,5448,44,63,26,16,1,5.017279836814924,379.12763333333334,0,17,5,5,5
6.08E+10,17784,44,51,34,12,0,6.2166061010848646,285.7658,0,12,5,5,3
8.01E+10,52000,60,44,30,13,1,6.90875477931522,347.6213666666667,0,13,5,5,3
4.11E+10,72800,51,70,48,14,0,7.244941546337007,352.8772,0,10.5,5,2,4
7.65E+10,3300,30,34,27,12,0,5.455321115357702,309.16583333333335,1,12,5,5,3
8.55E+10,16640,30,32,41,12,1,5.768320995793772,280.6340333333333,0,12,5,5,3
5.19E+10,21580,66,80,57,18,1,6.398594934535208,355.34023333333334,1,12,5,5,6
3.16E+10,14040,28,17,27,12,1,5.602118820879701,222.40816666666666,0,9.5,1,5,3
6.43E+10,11440,49,53,56,13,0,5.3981627015177525,272.5233,0,12,5,2,3
6.51E+10,16952,46,38,34,12,1,5.7899601708972535,330.0412,0,12.5,5,5,3
4.01E+10,129216,60,84,38,18,1,7.824445930877619,360.9044666666667,0,9.5,5,5,6
2.01E+10,15600,35,40,39,12,1,5.707110264748875,331.7928,0,12,5,5,3
8.01E+10,16640,36,33,37,12,1,5.771441123130016,364.90253333333334,0,11,5,5,3
4.10E+10,1352,28,39,32,9,0,4.07753744390572,212.20486666666667,1,8.5,1,5,1
6.05E+10,20800,34,38,53,16,1,5.993961427306569,325.2068,0,11.5,5,5,5
5.17E+10,20000,27,33,40,12,0,5.955837369464831,239.68983333333333,0,6.5,2,1,3
3.10E+10,10000,22,28,29,12,0,5.303304908059076,145.35446666666667,0,3,5,5,3
1.08E+10,4550,29,33,29,6,0,4.795790545596741,80.0462,0,5.028290358535122,2,1,1
6.12E+10,26000,43,42,32,13,1,6.2166061010848646,301.80623333333335,0,12,5,5,3
2.17E+10,17940,64,79,29,16,1,5.84354441703136,335.75396666666666,0,15,5,5,5
6.64E+10,NA,29,33,36,12,1,5.017279836814924,233.34973333333332,0,12,5,5,3
1.16E+10,21840,24,32,34,11,0,6.040254711277414,240.25236666666666,0,12,5,2,1
2.23E+10,2700,29,38,25,13,1,4.30406509320417,385.38303333333334,0,10,5,5,3
2.11E+10,26000,50,63,29,16,0,6.2166061010848646,304.23966666666666,0,12,5,5,5
4.04E+10,13000,23,27,31,12,1,5.5254529391317835,306.2701,0,18,5,5,3
3.30E+10,26624,38,52,34,13,0,6.240275845170769,263.715,0,15.5,2,1,3
3.16E+10,19760,40,50,41,12,0,5.942799375126701,253.98203333333333,0,11.5,1,5,3
3.17E+10,1560,22,28,27,12,0,3.784189633918261,263.06393333333335,0,8,1,5,3
2.09E+10,4400,39,37,52,10,1,6.55250788703459,254.48726666666667,1,4,5,5,1
4.02E+10,83200,59,73,42,13,0,7.3783837129967145,360.5690333333333,0,12,5,5,3
5.16E+10,31200,52,69,38,14,1,6.398594934535208,351.71923333333336,0,12,5,5,4
5.51E+10,NA,66,80,31,16,0,6.135281577136237,345.9081,0,17,5,5,5
1.02E+10,3978,30,31,49,14,0,6.16541785423142,356.23786666666666,1,12,2,1,4
3.33E+10,8800,27,37,26,12,0,5.303304908059076,248.33353333333332,1,8.028075429238513,1,5,2
5.18E+10,20176,40,46,38,14,0,5.963579343618446,314.8475666666667,0,11,5,5,4
6.02E+10,NA,31,36,35,16,0,6.614950882953045,354.97776666666664,0,12,5,5,5
4.08E+10,27888,27,37,54,12,1,6.336825731146441,319.3985333333333,0,12.5,5,5,3
4.05E+10,NA,40,53,30,14,0,5.942247771311261,281.32033333333334,0,12.5,5,5,4
4.16E+10,NA,35,33,25,12,0,5.961005339623274,299.85953333333333,0,12.5,5,2,3
7.53E+10,35250,34,44,34,16,0,6.523562306149512,274.85066666666665,0,12,5,5,5
2.24E+10,8840,35,38,26,12,0,5.272999558563747,275.4497333333333,0,12,5,5,3
6.08E+10,14560,38,52,29,12,1,5.602118820879701,242.4102333333333,0,9,5,5,3
5.17E+10,13520,42,29,26,12,1,5.564520407322694,248.58063333333334,0,9,1,5,3
2.09E+10,26000,51,64,41,16,1,6.2166061010848646,315.7275333333333,0,12,2,1,5
5.19E+10,7800,34,44,46,12,0,5.62040086571715,287.96256666666665,0,12,5,5,3
7.33E+10,26000,74,89,27,14,0,6.2166061010848646,258.0498333333333,0,17,3,3,4
3.26E+10,14040,43,37,42,12,1,5.598421958998375,276.63266666666664,0,7,5,5,2
1.09E+10,50700,49,64,56,13,1,6.878326468291325,253.20226666666667,0,10,2,1,3
4.13E+10,65000,48,67,38,18,0,7.1316985104669115,313.6125,0,17,1,5,6
5.07E+10,26000,74,87,34,16,1,6.2166061010848646,370.5962666666667,0,14.5,5,5,5
5.62E+10,NA,46,38,41,13,1,6.5169140276716035,239.62426666666667,0,10,4,5,3
3.28E+10,49400,36,49,49,13,0,6.85751406254539,337.10673333333335,0,12,5,5,3
1.08E+10,20800,51,64,34,16,1,5.968707559985366,361.53026666666665,0,17,4,5,5
7.34E+10,26670,74,84,28,18,1,6.255750041753367,256.3938333333333,0,9,2,1,6
6.47E+10,NA,44,35,38,14,0,5.086370084671616,360.5612,0,11,5,5,4
5.13E+10,31200,62,76,49,10,1,6.398594934535208,175.28386666666665,0,5,5,2,1
3.27E+10,31200,50,49,35,13,0,6.398594934535208,398.72996666666666,0,11,5,5,3
5.20E+10,NA,28,33,32,7,0,NA,98.5064,1,6.580385981128342,4,4,1
8.51E+10,25376,35,29,37,12,0,6.202535517187923,301.08686666666665,0,11.02756786379728,2,5,3
5.16E+10,26000,27,31,39,12,0,6.2166061010848646,302.56126666666665,0,17,5,5,3
4.10E+10,8840,35,27,26,7,0,5.303304908059076,195.10739999999998,0,2.3718838499890538,2,1,1
2.12E+10,7500,61,76,41,14,1,5.5254529391317835,346.19370000000004,1,14,5,5,4
4.04E+10,3542,47,38,32,13,1,5.327876168789581,330.85003333333333,0,12,5,5,3
3.15E+10,14976,29,34,40,12,1,5.666426688112432,322.57563333333337,0,10,5,5,3
7.53E+10,17000,60,61,34,13,1,5.793013608384144,326.6103,0,14.5,5,5,3
6.72E+10,11440,57,50,56,12,0,5.3981627015177525,295.4329333333333,0,12,5,5,2
8.42E+10,33020,66,73,41,18,0,6.455198563340122,317.20466666666664,0,12,5,5,6
2.16E+10,NA,29,33,28,12,1,5.831882477283517,233.8211,0,14,5,5,3
1.12E+10,13000,41,31,27,13,1,5.5254529391317835,236.24216666666666,0,0,1,4,3
5.06E+10,36400,51,62,41,16,0,6.55250788703459,356.86580000000004,0,12,5,5,5
6.02E+10,11232,40,35,37,14,0,5.375278407684165,307.1376333333333,0,14,5,5,4
8.01E+10,24750,33,39,41,12,1,6.2166061010848646,364.90253333333334,0,10,5,5,3
2.11E+10,31500,60,63,46,13,0,6.410174881966167,262.59180000000003,0,12,1,5,3
3.06E+10,4900,43,35,34,6,1,4.836281906951478,230.52836666666667,1,3.743758705657143,1,5,1
4.06E+10,1600,29,32,26,12,0,5.043425116919247,184.5899,1,14,3,4,3
5.17E+10,23192,61,76,50,16,0,6.102558594613569,262.2751,0,11.520203756567673,5,4,5
2.13E+10,30004,60,73,31,18,0,6.3561076606958915,402.71926666666667,0,13,5,5,6
2.10E+10,NA,29,33,35,12,1,NA,264.84093333333334,1,14.641442876989844,2,5,2
3.21E+10,NA,73,84,52,16,0,5.315669217505281,238.90196666666668,0,15.139971794622841,1,4,5
2.25E+10,26000,49,64,59,12,0,6.2166061010848646,263.83753333333334,0,9,5,5,3
7.64E+10,3780,42,29,34,8,1,4.795790545596741,263.2507333333333,0,9,1,5,1
3.19E+10,12600,24,29,44,14,1,5.707110264748875,247.90183333333334,0,10,1,5,4
7.52E+10,16016,35,49,29,16,0,5.733341276897746,310.3525333333333,0,11.5,5,5,5
3.33E+10,52000,65,76,36,18,0,6.90875477931522,300.3772666666667,0,5.5,5,5,6
8.01E+10,26000,51,64,44,14,1,6.311734809152915,277.91966666666667,0,12,5,5,4
2.20E+10,31200,33,51,29,13,1,6.398594934535208,369.7550333333333,0,13,5,5,3
2.21E+10,22984,66,73,45,14,1,6.093569770045136,340.09243333333336,0,12,5,5,4
6.21E+10,22100,51,38,42,12,1,6.054439346269371,309.4851,0,12,5,5,3
5.08E+10,13000,28,33,28,13,0,5.5254529391317835,222.897,0,12,1,5,3
7.32E+10,14040,39,62,39,14,0,5.602118820879701,279.3736666666667,0,14,1,5,4
1.08E+10,16632,36,57,28,16,0,5.993961427306569,339.8233333333333,1,18,5,5,5
6.63E+10,23400,42,45,36,12,0,6.111467339502679,321.63613333333336,0,12.5,5,5,3
7.56E+10,9600,35,26,54,13,0,5.225746673713202,187.547,0,10,1,5,3
2.02E+10,19240,50,41,57,12,1,5.968707559985366,249.11553333333336,0,9,5,5,3
3.17E+10,7280,34,49,31,12,1,5.017279836814924,240.4915,0,8,1,5,2
4.01E+10,39200,54,74,53,14,0,6.68586094706836,319.71063333333336,0,15,5,5,4
8.42E+10,34900,28,33,41,12,0,6.508769136971682,295.4101333333333,0,12,5,5,3
6.10E+10,26000,32,51,27,12,0,6.2166061010848646,304.3045333333333,0,12,5,2,3
8.13E+10,24960,51,62,35,13,0,6.175867270105761,278.25143333333335,0,9.5,3,4,3
6.50E+10,62296,40,37,27,14,0,7.0909098220799835,283.11876666666666,0,13,5,1,4
5.53E+10,23400,45,38,57,12,0,6.111467339502679,284.32413333333335,0,10,5,5,3
3.24E+10,1680,28,17,58,12,1,4.859812404361672,186.3501,1,9.350832748495023,5,5,3
3.21E+10,19500,22,28,43,12,0,5.929589143389895,237.77576666666667,0,12,1,5,3
5.20E+10,41600,74,84,29,16,0,6.68586094706836,366.4037333333333,0,10,5,5,5
4.13E+10,9100,54,69,36,13,0,5.707110264748875,245.3536,1,12,1,5,3
4.03E+10,28964,56,61,46,13,1,6.326149473155099,341.58936666666665,0,10.5,5,5,3
1.01E+10,36400,43,51,27,13,0,6.55250788703459,265.70793333333336,0,11,5,5,3
7.28E+10,26000,66,73,39,18,1,6.2166061010848646,219.00206666666665,0,8.5,1,5,6
3.16E+10,17340,47,55,28,13,0,5.942799375126701,330.9832333333333,0,10,5,5,3
1.16E+10,18200,60,75,25,16,1,6.1441856341256456,304.9028666666667,0,17,5,5,5
5.09E+10,65000,75,92,35,18,0,7.1316985104669115,326.50213333333335,0,16,2,5,6
1.06E+10,18200,28,34,30,12,0,5.860786223465865,215.1222,0,12,2,1,3
3.01E+10,91000,51,64,49,16,0,7.4645098346365275,313.102,0,13,5,5,5
4.20E+10,8200,43,35,25,13,1,5.081404364984463,320.7685666666667,0,10,5,5,3
6.51E+10,31980,48,64,44,12,0,6.423246963533519,305.5993666666667,0,10.5,5,5,3
1.10E+10,39000,40,53,34,14,0,6.621405651764134,310.9966,0,12,5,5,4
5.06E+10,24000,52,69,26,16,1,6.398594934535208,331.8116,0,10.5,5,5,5
4.18E+10,14404,45,40,35,13,1,5.5909869805108565,247.93873333333332,0,12,1,5,3
5.19E+10,33852,52,52,30,13,0,6.480044561926653,314.7194,0,14,5,5,3
8.12E+10,28600,50,47,27,16,0,6.311734809152915,338.60833333333335,0,10.5,5,5,5
3.13E+10,NA,52,65,49,14,1,6.451856268761621,318.0840666666667,0,12,5,5,4
3.31E+10,NA,64,79,31,18,0,5.544767419558086,295.0799333333334,0,14,5,5,6
6.68E+10,13000,33,38,32,12,0,5.5254529391317835,267.05129999999997,0,12,5,5,3
3.10E+10,10920,42,29,34,12,1,5.351858133476067,255.8801,0,10,5,5,3
4.13E+10,18720,30,28,32,14,0,5.8888779583328805,223.3668,0,11.5,1,5,4
6.67E+10,46800,42,32,53,13,0,6.803505257608338,317.85040000000004,0,10,5,5,3
2.04E+10,2560,42,32,36,12,0,4.2626798770413155,265.17106666666666,1,14,1,5,3
6.48E+10,28800,64,79,56,16,1,6.825460036255307,255.20743333333334,0,4,5,2,5
3.12E+10,16016,24,29,36,12,0,5.993961427306569,237.96743333333333,0,12,2,5,3
4.15E+10,NA,50,49,35,12,0,6.2166061010848646,241.52666666666667,0,10,1,5,3
2.12E+10,62400,74,91,54,18,0,7.0909098220799835,372.476,0,13,5,5,6
8.01E+10,18200,54,57,36,18,0,5.860786223465865,401.7986,0,14,5,5,6
7.30E+10,10000,47,62,53,12,1,5.375278407684165,327.1580333333333,0,8,5,5,2
4.10E+10,20800,24,29,40,14,0,5.993961427306569,244.47806666666665,0,12,5,5,4
6.61E+10,130000,61,80,50,18,0,7.824445930877619,327.25733333333335,0,12.5,5,5,6
2.21E+10,46800,52,69,46,14,1,6.803505257608338,351.2255,0,14,5,5,4
3.01E+10,41600,38,37,38,9,0,6.68586094706836,112.1061,0,7,1,5,1
3.30E+10,4750,22,37,37,12,1,4.61512051684126,297.2035333333333,0,3,5,5,3
4.10E+10,10610,24,29,33,10,1,5.3612921657094255,208.3605,0,7.5,2,1,1
4.14E+10,62400,49,67,38,16,0,7.0909098220799835,365.47176666666667,0,15,5,5,5
5.62E+10,17680,35,27,25,12,0,5.831882477283517,238.2151,0,12,5,5,3
6.13E+10,12480,39,34,40,13,0,5.707110264748875,260.1664666666667,0,12,3,3,3
5.10E+10,13000,32,51,37,18,1,5.5254529391317835,296.6317666666667,1,6,1,5,6
7.34E+10,41600,27,38,57,12,0,6.68586094706836,242.9875,0,8,1,5,3
5.61E+10,29304,26,37,53,12,1,6.342121418721152,167.64326666666668,0,15,1,5,3
6.12E+10,23400,49,68,34,16,0,6.111467339502679,327.01983333333334,0,14,5,5,5
5.08E+10,NA,44,51,45,18,0,6.076644386587487,297.95273333333336,0,15,5,5,6
3.13E+10,42640,35,29,32,11,1,6.710523109452428,252.1941,0,9.15837388509963,1,5,1
3.01E+10,NA,20,21,36,0,1,5.5254529391317835,126.11683333333333,0,0,2,1,1
8.01E+10,15600,47,38,25,14,1,5.7899601708972535,237.5062,0,12,5,5,4
1.06E+10,85020,74,86,53,18,0,7.395721608602045,336.968,0,10,5,5,6
2.15E+10,39780,51,64,40,12,0,6.634633357861686,318.3903666666667,0,11,5,5,3
1.07E+10,18200,42,31,31,13,0,5.860786223465865,274.67223333333334,0,12.5,1,5,3
5.20E+10,48360,44,51,52,12,1,6.836259277277067,319.3985333333333,0,10,5,5,3
6.04E+10,2700,36,32,49,13,0,5.25227342804663,299.7141,0,12,5,5,3
5.09E+10,NA,36,30,41,11,0,5.10574408290124,245.6309,0,6,5,1,1
8.15E+10,29016,38,34,42,12,0,6.318968113746434,314.98013333333336,0,9,5,5,3
4.20E+10,4008,47,61,35,12,0,4.1588830833596715,234.47220000000002,0,11,2,1,2
6.12E+10,43004,30,37,35,12,0,6.717804695023691,289.17723333333333,0,11,1,5,3
6.11E+10,NA,74,85,52,18,0,7.561343159261556,331.91876666666667,0,16,5,5,6
4.19E+10,20592,57,81,43,16,0,5.983936280687191,329.1902,0,12,5,5,5
7.61E+10,36400,52,74,47,16,1,6.55250788703459,363.78433333333334,0,15,5,2,5
2.21E+10,58854,51,64,41,14,0,7.035268599281097,382.4485666666667,0,13,5,5,4
4.09E+10,17460,36,28,27,12,0,5.860786223465865,241.16743333333335,0,13,1,5,3
5.17E+10,15600,33,39,50,14,1,5.707110264748875,298.0887666666667,0,11,5,5,4
6.82E+10,18720,41,31,35,14,1,5.8888779583328805,333.6326,0,12,5,5,4
5.52E+10,20160,86,97,27,18,0,6.68586094706836,258.29723333333334,1,17,5,1,6
4.13E+10,104000,48,67,28,16,1,7.601402334583733,339.55763333333334,0,12.569671481871332,5,5,5
2.03E+10,20800,26,34,29,13,1,5.993961427306569,314.69866666666667,0,12,5,5,3
1.15E+10,20800,36,44,58,12,1,5.993961427306569,306.61473333333333,0,10.5,1,5,3
